Period,Deer,SubClass,Fish,Shellfish,Quahog,SoftClam,Oyster
LateWoodland,102,242,68,47241.2,17247.2,11010.3,18537.7
Seventeenth,90,303,9055,22843.03,1531.75,8120.3,7649.48
